Square Footage,Number of Occupants,Appliances Used,Average Temperature,Energy Consumption,Building Type_Industrial,Building Type_Residential,Day of Week_Weekend,Energy Status (Class)
7063,76,10,29.84,2713.95,False,True,False,0
44372,66,45,16.72,5744.99,False,False,False,2
19255,37,17,14.3,4101.24,True,False,True,1
13265,14,41,32.82,3009.14,False,True,False,0
13375,26,18,11.92,3279.17,False,False,False,0
37377,26,32,16.24,4687.67,False,False,True,1
38638,92,14,21.01,5526.83,True,False,True,2
34950,60,18,28.24,4116.32,False,True,False,1
29741,99,44,13.08,5841.65,True,False,False,2
17467,42,36,28.84,3419.13,False,True,False,1
27702,71,14,11.3,4318.61,False,False,True,1
47265,4,44,25.38,5206.34,False,False,False,2
19139,97,34,17.35,4070.21,False,True,False,1
17820,11,8,17.8,2571.98,False,True,True,0
45868,97,19,22.45,5031.14,False,True,True,2
9578,54,47,13.56,3891.12,False,False,True,1
4310,34,44,24.62,3362.42,False,False,False,1
38446,97,20,23.99,5672.37,True,False,True,2
7460,32,23,27.87,3563.67,True,False,False,1
10880,19,48,22.67,3080.67,False,True,True,0
37912,24,43,10.38,4993.7,False,False,False,2
14699,83,40,32.92,4750.37,True,False,False,1
18274,32,22,17.87,4134.35,True,False,False,1
23898,55,16,26.95,3930.14,False,False,True,1
41498,39,27,18.67,4411.53,False,True,True,1
41238,22,7,31.95,4812.15,True,False,False,1
35611,8,5,23.67,3342.21,False,True,True,1
49653,63,12,29.54,5754.96,True,False,False,2
30259,35,14,15.39,3566.01,False,True,True,1
27072,12,30,32.89,3409.14,False,True,True,1
13499,75,41,12.97,4230.09,False,False,False,1
46749,22,36,15.41,4700.42,False,True,True,1
22931,24,34,24.93,3991.89,False,False,False,1
29341,2,13,11.36,4190.25,True,False,True,1
3800,5,26,20.96,2205.2,False,True,False,0
49094,33,11,14.17,4483.83,False,True,False,1
10403,25,26,21.34,2733.45,False,True,False,0
31919,77,20,22.84,5151.75,True,False,True,2
1841,31,13,15.09,2086.62,False,True,True,0
42188,64,43,24.21,5038.34,False,True,False,2
20920,89,31,32.76,4892.22,True,False,True,1
12093,58,35,10.34,3882.94,False,False,False,1
27845,85,21,29.36,4015.46,False,True,True,1
36832,20,30,31.23,3985.45,False,True,True,1
45162,85,45,12.92,6493.48,True,False,False,2
14105,73,26,14.95,4430.49,True,False,False,1
34914,99,18,33.43,5428.56,True,False,True,2
16025,35,16,21.39,2914.3,False,True,False,0
49043,26,48,28.64,6028.93,True,False,True,2
29898,63,13,18.75,3791.16,False,True,True,1
12615,85,45,11.64,3872.54,False,True,False,1
3308,2,24,18.69,2621.96,False,False,False,0
35031,3,13,13.09,4526.12,True,False,False,1
3211,78,10,28.31,2499.0,False,True,True,0
10496,21,17,31.54,2417.11,False,True,True,0
49997,15,22,26.78,5505.97,True,False,False,2
38697,17,35,34.03,5134.71,True,False,True,2
36484,69,43,15.98,5794.31,True,False,True,2
28587,24,14,23.97,4329.5,True,False,True,1
28880,89,10,22.15,4923.27,True,False,True,2
7559,27,44,10.08,4027.56,True,False,False,1
6590,89,32,31.24,3753.31,False,False,False,1
44528,78,22,15.51,5868.84,True,False,True,2
6288,33,20,25.24,2968.2,False,False,False,0
9627,84,41,25.93,3511.71,False,True,True,1
36868,10,22,15.14,4307.72,False,False,True,1
6859,25,47,25.8,3403.93,False,False,True,1
35988,57,47,17.34,4722.68,False,True,True,1
18185,97,15,29.66,3580.93,False,True,False,1
35633,44,19,11.91,5042.08,True,False,True,2
45359,75,35,26.86,6133.65,True,False,False,2
36335,6,33,17.4,4999.76,True,False,False,2
11844,2,22,20.11,2451.63,False,True,True,0
12454,68,35,29.35,4355.96,True,False,True,1
13581,73,7,20.74,3495.35,False,False,False,1
27428,48,40,21.62,5043.32,True,False,True,2
16004,23,47,10.9,3915.71,False,False,True,1
48351,4,18,24.42,4745.47,False,False,False,1
37880,34,11,11.92,4944.4,True,False,False,2
47181,40,16,11.52,5571.47,True,False,False,2
13587,68,13,25.69,3540.91,False,False,False,1
14882,48,40,27.71,4435.54,True,False,False,1
49038,43,25,14.5,5359.38,False,False,False,2
41470,77,3,32.58,4290.61,False,True,False,1
20579,44,19,22.34,3787.26,False,False,False,1
25780,59,33,32.21,3927.94,False,True,False,1
44909,4,4,22.06,4805.17,True,False,False,1
2259,22,45,24.88,2608.53,False,True,True,0
6654,21,24,15.0,2497.72,False,True,False,0
13303,22,32,25.42,3448.03,False,False,False,1
26183,68,3,16.82,3465.03,False,True,True,1
16434,24,24,17.95,3501.94,False,False,False,1
4763,86,32,15.79,4209.18,True,False,False,1
29625,55,2,10.62,3518.13,False,True,True,1
44361,30,39,22.49,5185.62,False,False,True,2
560,68,3,33.63,2599.86,False,False,True,0
8745,28,30,17.72,2728.63,False,True,True,0
4590,6,35,15.55,2961.76,False,False,False,0
19842,15,11,11.29,3855.63,True,False,False,1
40166,70,35,13.05,5343.05,False,False,True,2
16905,88,26,17.36,4158.47,False,False,True,1
10647,46,41,13.13,3796.71,False,False,False,1
4970,21,17,29.93,2648.85,False,False,True,0
2692,83,13,23.67,2656.26,False,True,False,0
981,3,12,28.85,2724.82,True,False,False,0
6683,39,41,15.77,4015.3,True,False,False,1
6776,84,29,17.2,3722.8,False,False,False,1
32153,75,24,33.11,4172.08,False,True,True,1
19287,77,34,33.56,4246.55,False,False,True,1
1399,32,15,26.19,2109.01,False,True,False,0
18949,64,42,23.14,3811.73,False,True,True,1
22254,10,17,24.49,2980.23,False,True,False,0
33421,41,1,26.97,3516.18,False,True,False,1
25262,66,1,29.74,3344.42,False,True,False,1
40325,86,31,18.88,4901.86,False,True,True,1
36897,30,32,20.36,4683.04,False,False,True,1
46417,82,20,23.44,5973.63,True,False,False,2
22515,60,30,13.61,4757.71,True,False,True,1
17459,3,37,27.75,3554.19,False,False,False,1
39714,82,41,16.32,5094.1,False,True,False,2
43501,83,31,26.67,6041.7,True,False,False,2
7787,73,35,19.29,3272.91,False,True,False,0
16958,2,49,30.66,3744.59,False,False,False,1
40211,75,21,28.17,5589.71,True,False,False,2
6484,19,36,22.89,3619.74,True,False,True,1
41496,73,2,14.29,4273.37,False,True,True,1
20672,46,10,18.4,3651.6,False,False,False,1
9101,15,4,12.87,2170.7,False,True,False,0
17827,35,4,24.93,3246.71,False,False,False,0
12061,40,4,14.57,3010.22,False,False,True,0
11862,5,36,33.46,3195.8,False,False,True,0
24863,50,40,25.81,4414.12,False,False,True,1
9019,60,48,31.53,3903.29,False,False,False,1
6224,15,39,28.75,3097.45,False,False,True,0
44013,15,49,10.43,5278.51,False,False,True,2
30515,93,3,32.87,3901.38,False,True,False,1
49646,12,12,18.68,4298.92,False,True,False,1
48903,70,22,23.91,5015.61,False,True,False,2
9517,82,46,13.2,4149.86,False,False,True,1
29878,16,41,31.63,4315.75,False,False,True,1
18771,66,4,14.36,3106.77,False,True,True,0
34072,12,13,29.68,3435.18,False,True,True,1
9095,5,34,29.59,3536.81,True,False,True,1
26792,86,10,15.01,4874.53,True,False,False,1
45580,68,4,33.33,4922.36,False,False,False,2
14525,58,24,27.49,3148.79,False,True,True,0
26529,54,47,32.58,5143.54,True,False,True,2
19563,65,27,22.5,3555.64,False,True,True,1
13525,21,25,32.25,3775.01,True,False,False,1
18086,21,8,17.75,2685.54,False,True,True,0
31407,2,39,23.03,4805.22,True,False,False,1
36454,72,40,10.71,5789.16,True,False,True,2
35207,16,44,32.34,4688.65,False,False,False,1
20395,42,27,15.63,3951.62,False,False,False,1
48382,95,1,31.98,4779.18,False,True,False,1
12200,95,8,29.74,3621.32,False,False,False,1
41131,12,14,13.25,4890.31,True,False,True,1
21177,69,7,32.54,4276.15,True,False,False,1
11182,13,45,12.11,3028.56,False,True,True,0
3208,68,29,14.07,2850.05,False,True,True,0
2853,81,37,23.68,3074.25,False,True,True,0
9496,85,21,28.01,4104.73,True,False,True,1
14653,47,4,13.55,3214.88,False,False,True,0
40829,52,4,32.3,4979.96,True,False,True,2
34508,98,24,10.55,5682.63,True,False,False,2
32396,23,43,28.56,4616.98,False,False,False,1
40185,73,23,34.62,5576.14,True,False,False,2
37765,92,35,25.8,5879.25,True,False,True,2
24321,78,17,34.79,4212.08,False,False,False,1
30366,21,28,28.96,4643.49,True,False,True,1
